teamName,urlName,headshotUrl,scorerId,upcomingEventStatusId,rank,teamLogo,posIdsNoFlex,defaultPosId,posShortNames,team,rookie,minorsEligible,posIds,teamId,name,teamShortName,shortName,next_match,fpts,fpts_per_game,statusId
Wolverhampton,andre-trindade-da-costa-neto,https://fantraximg.com/assets/images/logos/sportsteam/epl/Wolverhampton_Wanderers.png,06pic,,271,True,['702'],702,M,False,False,False,['702'],110191,Andre,WOL,Andre,@NOT Wed<br/>2:30PM<br/>ARS Wed3:00PM,64.5,2.8,4
Nottingham Forest,nicolas-dominguez,https://fantraximg.com/assets/images/logos/sportsteam/epl/Nottingham_Forest.png,06fy7,2,270,True,['702'],702,M,False,False,False,['702'],110105,Nicolas Dominguez,NOT,N. Dominguez,WOL<br/>Wed 2:30PM,64.5,4.03,
Brighton,charalampos-kostoulas,https://fantraximg.com/assets/images/logos/sportsteam/epl/Brighton_and_Hove_Albion.png,06xzd,,272,True,['701'],701,F,False,False,False,['701'],110240,Charalampos Kostoulas,BHA,C. Kostoulas,@AVL<br/>Wed 2:30PM,62.5,4.17,4
West Ham United,soungoutou-magassa,https://fantraximg.com/assets/images/logos/sportsteam/epl/West_Ham_United.png,070g9,,273,True,['702'],702,M,False,False,False,['702'],110175,Soungoutou Magassa,WHU,S. Magassa,MUN 1<br/>@WHU 1 F,62.5,4.17,5
Newcastle United,anthony-elanga,https://fantraximg.com/assets/images/logos/sportsteam/epl/Newcastle_United.png,05ogb,,274,True,['701'],701,F,False,False,False,['701'],110101,Anthony Elanga,NEW,A. Elanga,NEW 2<br/>@TOT 1 F,62,2.82,
Burnley,kyle-walker,https://fantraximg.com/assets/images/logos/sportsteam/epl/Burnley_3.png,02lp9,2,275,True,['703'],703,D,False,False,False,['703'],110223,Kyle Walker,BUR,K. Walker,@CRY<br/>Wed 2:30PM,61.75,2.57,4
Fulham,calvin-bassey,https://fantraximg.com/assets/images/logos/sportsteam/epl/Fulham.png,0554g,,276,True,['703'],703,D,False,False,False,['703'],110063,Calvin Bassey,FUL,C. Bassey,@MCI<br/>Wed 2:30PM,61.5,3.62,4
Bournemouth,bafode-diakite,https://fantraximg.com/assets/images/logos/sportsteam/epl/Bournemouth.png,0700u,,277,True,['703'],703,D,False,False,False,['703'],110034,Bafode Diakité,BOU,B. Diakité,BOU 2<br/>@EVE 1 F,61.25,3.4,5
Arsenal,ben-white,https://fantraximg.com/assets/images/logos/sportsteam/epl/Arsenal.png,04e1e,,278,True,['703'],703,D,False,False,False,['703'],110000,Ben White,ARS,B. White,@BRF Thu<br/>3:00PM<br/>@WOL Wed3:00PM,60.75,8.68,
Nottingham Forest,nicolo-savona,https://fantraximg.com/assets/images/logos/sportsteam/epl/Nottingham_Forest.png,070g8,,279,True,['703'],703,D,False,False,False,['703'],110105,Nicolo Savona,NOT,N. Savona,WOL<br/>Wed 2:30PM,60.25,4.3,4
Liverpool,andrew-robertson,https://fantraximg.com/assets/images/logos/sportsteam/epl/Liverpool.png,03gu5,,280,True,['703'],703,D,False,False,False,['703'],110070,Andrew Robertson,LIV,A. Robertson,@SUN<br/>Wed 3:15PM,59.25,4.23,4
Wolverhampton,jean-ricner-bellegarde,https://fantraximg.com/assets/images/logos/sportsteam/epl/Wolverhampton_Wanderers.png,06fxv,,281,True,['702'],702,M,False,False,False,['702'],110191,Jean-Ricner Bellegarde,WOL,J. Bellegarde,@NOT Wed<br/>2:30PM<br/>ARS Wed3:00PM,59,3.69,4
Tottenham Hotspur,randal-kolo-muani,https://fantraximg.com/assets/images/logos/sportsteam/epl/Tottenham_Hotspur.png,070hp,,282,True,['701'],701,F,False,False,False,['701'],110160,Randal Kolo Muani,TOT,R. Kolo Muani,NEW 2<br/>@TOT 1 F,58.5,3.25,5
Bournemouth,ryan-christie,https://fantraximg.com/assets/images/logos/sportsteam/epl/Bournemouth.png,061ve,,283,True,['702'],702,M,False,False,False,['702'],110034,Ryan Christie,BOU,R. Christie,BOU 2<br/>@EVE 1 F,58,3.62,5
Brighton,joel-veltman,https://fantraximg.com/assets/images/logos/sportsteam/epl/Brighton_and_Hove_Albion.png,05mxa,,284,True,['703'],703,D,False,False,False,['703'],110240,Joel Veltman,BHA,J. Veltman,@AVL<br/>Wed 2:30PM,58,4.46,4
Crystal Palace,evann-guessand,https://fantraximg.com/assets/images/logos/sportsteam/epl/Crystal_Palace.png,06zwj,2,286,True,['701'],701,F,False,False,False,['701'],110045,Evann Guessand,CRY,E. Guessand,BUR<br/>Wed 2:30PM,57.5,4.11,4
Tottenham Hotspur,archie-gray,https://fantraximg.com/assets/images/logos/sportsteam/epl/Tottenham_Hotspur.png,05y7c,,285,True,['702'],702,M,False,False,False,['702'],110160,Archie Gray,TOT,A. Gray,NEW 2<br/>@TOT 1 F,57.5,3.59,5
